City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Avarua,CK,2021-04-16 23:02:21,-21.2078,-159.775,84.2,70,75,8.05
104,Kupang,ID,2021-04-16 23:05:18,-10.1667,123.5833,77.2,84,18,4.88
105,Sao Felix Do Xingu,BR,2021-04-16 23:05:19,-6.6447,-51.995,73.47,96,99,2.19
106,Hermanus,ZA,2021-04-16 23:05:19,-34.4187,19.2345,61.0,74,0,5.99
107,Provideniya,RU,2021-04-16 23:05:19,64.3833,-173.3,33.64,84,100,6.62
108,Torit,SS,2021-04-16 23:05:20,4.4133,32.5678,76.78,55,76,3.49
109,Pontes E Lacerda,BR,2021-04-16 23:05:20,-15.2261,-59.3353,77.59,75,57,2.68
110,Souillac,MU,2021-04-16 23:01:04,-20.5167,57.5167,77.0,88,20,7.0
111,Lingao,CN,2021-04-16 23:05:21,19.9103,109.6859,74.82,90,97,7.18
112,Guasdualito,VE,2021-04-16 23:05:21,7.2424,-70.7324,82.27,66,99,0.89
113,Talnakh,RU,2021-04-16 23:05:22,69.4865,88.3972,-9.99,99,100,3.33
114,Ostend,BE,2021-04-16 23:05:20,51.2234,2.9119,44.01,81,0,14.97
115,Udankudi,IN,2021-04-16 23:05:22,8.4333,78.0167,81.82,76,98,6.33
116,Yagodnoye,RU,2021-04-16 23:05:23,62.55,149.6667,14.86,75,7,3.69
117,Privas,FR,2021-04-16 23:02:28,44.5833,4.5,46.0,48,83,4.0
118,Amga,RU,2021-04-16 23:05:23,60.8953,131.9608,33.04,76,100,13.98
119,Saskylakh,RU,2021-04-16 23:05:24,71.9167,114.0833,6.49,95,100,13.87
120,North Platte,US,2021-04-16 23:05:24,41.1239,-100.7654,39.2,87,90,13.8
121,Saint George,US,2021-04-16 23:04:43,37.1041,-113.5841,69.01,22,1,16.11
122,Jining,CN,2021-04-16 23:05:25,35.405,116.5814,46.76,27,0,7.58
123,Vestmannaeyjar,IS,2021-04-16 23:05:25,63.4427,-20.2734,42.89,62,100,24.81
124,Wanning,CN,2021-04-16 23:05:25,18.8003,110.3967,77.16,86,87,1.7
125,Huanuco,PE,2021-04-16 23:02:13,-9.9329,-76.2415,66.56,86,91,5.64
126,Gboko,NG,2021-04-16 23:05:26,7.3179,8.9951,80.13,72,100,12.55
127,Lompoc,US,2021-04-16 23:02:05,34.6391,-120.4579,59.0,63,2,17.27
128,Evensk,RU,2021-04-16 23:05:27,61.95,159.2333,19.09,89,100,4.52
129,Letterkenny,IE,2021-04-16 23:05:27,54.95,-7.7333,41.9,89,97,3.67
130,Petrinja,HR,2021-04-16 23:05:27,45.4375,16.29,41.0,70,0,5.75
131,Severomuysk,RU,2021-04-16 23:05:28,56.1481,113.4267,16.48,85,98,5.39
132,Severo-Kurilsk,RU,2021-04-16 23:05:28,50.6789,156.125,33.75,71,3,11.83
133,Cidreira,BR,2021-04-16 23:05:29,-30.1811,-50.2056,71.26,80,100,3.78
134,Hithadhoo,MV,2021-04-16 23:05:29,-0.6,73.0833,81.73,62,67,0.74
135,Cape Town,ZA,2021-04-16 23:00:56,-33.9258,18.4232,66.99,72,0,3.44
136,Lisakovsk,KZ,2021-04-16 23:05:30,52.5369,62.4936,42.75,91,56,7.61
137,Kaa-Khem,RU,2021-04-16 23:05:30,51.6833,94.7333,40.26,55,6,3.62
138,Vallenar,CL,2021-04-16 23:05:31,-28.5708,-70.7581,65.7,68,1,4.36
139,Morgan City,US,2021-04-16 23:05:31,29.6994,-91.2068,64.4,100,90,10.36
140,Zemio,CF,2021-04-16 23:05:31,5.0314,25.1361,73.09,62,65,2.08
141,Uricani,RO,2021-04-16 23:05:32,45.3373,23.1524,30.83,79,38,2.08
142,Fez,MA,2021-04-16 23:01:00,34.0372,-4.9998,53.6,94,40,2.3
143,Rassvet,RU,2021-04-16 23:05:32,46.8333,40.75,49.28,90,98,5.86
144,Horta,PT,2021-04-16 23:05:33,38.5333,-28.6333,62.29,96,100,17.11
145,Ushtobe,KZ,2021-04-16 23:05:33,45.2514,77.9838,56.79,56,79,7.99
146,Cherskiy,RU,2021-04-16 23:05:34,68.75,161.3,15.6,89,83,8.72
147,Torbay,CA,2021-04-16 23:03:19,47.6666,-52.7314,33.01,100,90,18.41
148,Hamilton,US,2021-04-16 23:01:41,39.1834,-84.5333,60.8,41,40,8.05
149,Faya,SA,2021-04-16 23:05:34,18.3851,42.4509,66.2,25,0,7.49
150,Longyearbyen,SJ,2021-04-16 23:03:13,78.2186,15.6401,14.0,62,20,14.97
151,Saint-Augustin,CA,2021-04-16 23:05:35,51.226,-58.6502,31.77,66,18,10.33
152,Njombe,TZ,2021-04-16 23:05:35,-9.3333,34.7667,57.4,98,100,6.67
153,Tabuk,PH,2021-04-16 23:05:36,17.4189,121.4443,75.38,79,100,0.65
154,Port Elizabeth,ZA,2021-04-16 23:05:36,-33.918,25.5701,60.8,72,0,14.97
155,Karratha,AU,2021-04-16 23:05:37,-20.7377,116.8463,79.75,50,2,12.75
156,Pevek,RU,2021-04-16 23:05:37,69.7008,170.3133,20.57,90,100,5.01
157,Hastings,GB,2021-04-16 23:01:11,50.8552,0.5729,39.0,84,1,1.99
158,Navrongo,GH,2021-04-16 23:05:38,10.8956,-1.0921,82.56,62,92,14.76
159,Vanavara,RU,2021-04-16 23:05:38,60.34,102.2797,9.27,80,71,10.83
160,Tessalit,ML,2021-04-16 23:05:39,20.1986,1.0114,88.52,11,98,9.22
161,Tautira,PF,2021-04-16 23:05:39,-17.7333,-149.15,87.8,66,20,13.8
162,Arman,RU,2021-04-16 23:05:39,59.7,150.1667,20.41,85,95,1.86
163,Cap Malheureux,MU,2021-04-16 23:05:40,-19.9842,57.6142,80.01,83,26,1.99
164,Irpa Irpa,BO,2021-04-16 23:05:40,-17.7167,-66.2667,70.66,46,31,6.42
165,Mbandaka,CD,2021-04-16 23:05:40,0.0487,18.2603,73.11,93,99,4.94
166,Bredasdorp,ZA,2021-04-16 23:05:41,-34.5322,20.0403,55.4,82,3,5.75
167,Illapel,CL,2021-04-16 23:05:41,-31.6308,-71.1653,64.87,74,64,1.95
168,Adolfo Lopez Mateos,MX,2021-04-16 23:05:42,28.4667,-107.3,73.99,17,7,11.99
169,Kaeo,NZ,2021-04-16 23:05:42,-35.1,173.7833,68.0,70,14,10.0
170,Djibo,BF,2021-04-16 23:05:42,14.1022,-1.6306,92.32,8,40,9.4
171,Jiwani,PK,2021-04-16 23:05:43,25.05,61.7417,81.0,71,20,15.26
172,Mahebourg,MU,2021-04-16 23:01:05,-20.4081,57.7,77.0,88,20,11.41
173,Gueret,FR,2021-04-16 23:05:43,46.1667,1.8667,37.4,60,0,5.75
174,Saint-Joseph,RE,2021-04-16 23:05:44,-21.3667,55.6167,77.0,78,0,4.61
175,Qaqortoq,GL,2021-04-16 23:05:44,60.7167,-46.0333,19.4,38,0,24.16
176,Yumen,CN,2021-04-16 23:05:45,40.2833,97.2,40.53,20,53,7.02
177,Khatanga,RU,2021-04-16 23:05:45,71.9667,102.5,8.64,95,100,9.17
178,Lebu,CL,2021-04-16 23:05:45,-37.6167,-73.65,54.07,84,100,9.86
179,San Carlos De Bariloche,AR,2021-04-16 23:05:46,-41.1456,-71.3082,50.0,50,0,2.3
180,Castro,BR,2021-04-16 23:05:46,-24.7911,-50.0119,61.14,75,72,3.8
181,Tortel,HU,2021-04-16 23:05:47,47.1221,19.9371,42.8,81,20,4.61
182,Seminole,US,2021-04-16 23:05:47,28.7086,-81.2081,79.0,83,90,6.82
183,Vardo,NO,2021-04-16 23:05:48,70.3705,31.1107,37.4,81,40,12.66
184,New Norfolk,AU,2021-04-16 23:05:48,-42.7826,147.0587,61.0,77,100,4.0
185,Sulangan,PH,2021-04-16 23:05:48,11.1373,123.7228,81.46,80,100,16.33
186,Koulikoro,ML,2021-04-16 23:05:49,14.0,-7.75,89.51,25,77,5.08
187,Valparaiso,CL,2021-04-16 23:05:50,-33.0393,-71.6273,55.99,94,35,5.75
188,Kakching,IN,2021-04-16 23:05:50,24.4833,93.9833,65.03,70,100,1.03
189,Milkovo,RU,2021-04-16 23:05:50,54.7167,158.6167,29.01,54,1,8.68
190,Mar Del Plata,AR,2021-04-16 23:04:41,-38.0023,-57.5575,64.99,88,87,6.91
191,Ahipara,NZ,2021-04-16 23:05:51,-35.1667,173.1667,64.49,67,30,15.32
192,Labuhan,ID,2021-04-16 23:05:51,-6.8844,112.2051,76.46,87,73,4.14
193,Ponta Do Sol,PT,2021-04-16 23:05:52,32.6667,-17.1,60.01,70,11,1.92
194,Victoria,HK,2021-04-16 23:04:13,22.2855,114.1577,73.0,92,75,1.99
195,Khao Wong,TH,2021-04-16 23:05:53,16.7001,104.0902,80.01,99,100,3.4
196,Kyren,RU,2021-04-16 23:05:53,51.6828,102.1408,36.84,63,29,3.51
197,Fukue,JP,2021-04-16 23:05:53,32.6881,128.8419,60.21,80,100,0.58
