City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
400,Hervey Bay,AU,77.0,few clouds,-25.2986,152.8535,Shelly Bay Resort
402,Arauca,CO,83.93,broken clouds,7.0847,-70.7591,Hotel Verano Plaza
403,Bonthe,SL,81.95,broken clouds,7.5264,-12.505,Bonthe Holiday Village
405,Nizwa,OM,76.51,clear sky,22.9333,57.5333,Orient Apartments
413,Coolum Beach,AU,75.99,clear sky,-26.5333,153.1,Palmer Coolum Resort
420,Kavieng,PG,83.14,light rain,-2.5744,150.7967,Nusa Island Retreat
423,Susangerd,IR,78.8,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
431,Namatanai,PG,84.0,overcast clouds,-3.6667,152.4333,Namatanai Hotel
432,Meulaboh,ID,76.73,overcast clouds,4.1363,96.1285,Kost Pria
433,Dingle,PH,79.63,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
434,Namibe,AO,81.05,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
435,Tarpon Springs,US,77.0,overcast clouds,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
436,Arlit,NE,86.16,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
437,Yenagoa,NG,79.05,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
439,Kilindoni,TZ,79.43,moderate rain,-7.9139,39.6668,Bustani B&B
440,Dzaoudzi,YT,82.4,clear sky,-12.7887,45.2699,Le Rocher
445,Pinos,MX,82.4,few clouds,22.3,-101.5667,Hotel El Meson Del Conde
446,Domoni,KM,79.74,light rain,-12.2569,44.5319,Al Djadid
450,Pangai,TO,84.2,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
451,Lufilufi,WS,89.6,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
453,Dhidhdhoo,MV,83.75,overcast clouds,6.8833,73.1,Dhidhoo beach
460,The Valley,AI,80.6,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
465,Safaga,EG,78.8,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
469,Banda Aceh,ID,80.33,broken clouds,5.5577,95.3222,Sulthan Hotel International
470,Isangel,VU,84.2,broken clouds,-19.55,169.2667,Tanna Lodge
472,Labuhan,ID,75.58,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
474,Soure,BR,76.24,overcast clouds,-0.7167,-48.5233,Casarão
476,Santa Marta,CO,81.7,overcast clouds,11.2408,-74.199,Casa de Isabella
478,Akyab,MM,76.57,clear sky,20.15,92.9,Hotel Memory
483,Ahuimanu,US,82.4,light rain,21.4447,-157.8378,Paradise Bay Resort
484,Cam Ranh,VN,78.8,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
487,Ilorin,NG,80.15,broken clouds,8.5,4.55,Ayala Suite Annex
489,Marica,BR,77.0,scattered clouds,-22.9194,-42.8186,Marica Hills
494,Mecca,SA,86.54,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
497,Malakal,SS,88.86,overcast clouds,9.5334,31.6605,Nile Palace Hotel
500,Redlands,US,84.2,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
502,Buala,SB,85.41,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
504,Koumac,NC,76.69,broken clouds,-20.5667,164.2833,Le Monitel
507,Rockport,US,77.0,clear sky,28.0206,-97.0544,Holiday Inn Express & Suites Rockport - Bay View
509,Marawi,PH,78.01,overcast clouds,7.9986,124.2928,Derogongan Residence
512,Mersing,MY,75.2,broken clouds,2.4312,103.8405,Timotel Hotel
514,Kaduqli,SD,88.07,broken clouds,11.0167,29.7167,فندق الله جابو
516,Tual,ID,82.71,broken clouds,-5.6667,132.75,Grand Vilia Hotel
519,Dickinson,US,80.01,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
522,Ugoofaaru,MV,82.74,overcast clouds,5.6667,73.0,Ungoofaaru Inn
528,Ambon,ID,81.7,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
532,Mallapuram,IN,78.22,broken clouds,11.9667,78.25,jayanthi
534,Corn Island,NI,81.18,broken clouds,12.1694,-83.0418,Big Fish Guest House
538,Saint-Pierre,RE,75.2,light rain,-21.3393,55.4781,Lindsey Hôtel
539,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
540,Puerto Baquerizo Moreno,EC,82.4,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
545,San Policarpo,PH,77.99,overcast clouds,12.1791,125.5072,JM Lodge
556,Itarema,BR,77.36,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
557,Sassandra,CI,81.0,broken clouds,4.95,-6.0833,la terrasse
560,San Juan Del Sur,NI,84.2,scattered clouds,11.2529,-85.8705,Nuestra Casa
569,Kavaratti,IN,83.19,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
572,Cordoba,AR,75.0,broken clouds,-31.4135,-64.1811,Hotel Sussex
578,Coahuayana,MX,82.4,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
581,Bolama,GW,77.0,clear sky,11.5833,-15.4667,Hotel Samaritana
596,Umm Lajj,SA,85.75,broken clouds,25.0213,37.2685,Moon light Furnished Units
604,Diourbel,SN,78.8,scattered clouds,14.6628,-16.3925,ISFAR maison Blanche
611,Nang Rong,TH,82.99,broken clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
613,Bosaso,SO,82.04,broken clouds,11.2842,49.1816,Red Sea Hotel
614,Denpasar,ID,77.0,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
615,Trat,TH,80.01,scattered clouds,12.5,102.5,สวนหนิง-อัศ
620,Durgapur,IN,77.29,clear sky,23.4833,87.3167,OYO 23635 Sher E Bengal
622,Palmas,BR,77.0,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
629,Port Blair,IN,80.04,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
632,Honiara,SB,86.18,broken clouds,-9.4333,159.95,Heritage Park Hotel
636,Chake Chake,TZ,76.59,overcast clouds,-5.2459,39.7666,Hotel Archipelago
645,Valle Hermoso,MX,78.8,clear sky,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
651,Gaoual,GN,85.46,scattered clouds,11.75,-13.2,Hotel koliba
652,Elat,IL,80.6,clear sky,29.5581,34.9482,Club Hotel Eilat
656,Trairi,BR,77.29,scattered clouds,-3.2778,-39.2689,janelas do mar
658,Keffi,NG,79.88,overcast clouds,8.8486,7.8736,Imam Family
661,Fuerte Olimpo,PY,80.47,clear sky,-21.0415,-57.8738,Hospedaje DAMI
678,Kuala Pilah,MY,77.0,few clouds,2.7389,102.2487,Desa Inn Hotel Kuala Pilah
682,Parrita,CR,75.2,overcast clouds,9.5201,-84.3225,Beso del Viento
684,Sakakah,SA,78.8,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
687,Payyannur,IN,77.22,overcast clouds,12.1,75.2,Kavvayi Beach House
692,Kandi,BJ,85.89,broken clouds,11.1342,2.9386,Baric Motel De Kandi
693,Mazamari,PE,75.63,scattered clouds,-11.3258,-74.5308,Hospedaje Ratto
