City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Bethel,US,41.3712,-73.414,73.4,27,1,10.36,clear sky
133,Eregli,TR,37.5133,34.0467,54.73,45,89,3.71,overcast clouds
134,Talnakh,RU,69.4865,88.3972,-9.09,86,81,1.97,broken clouds
135,Dovolnoye,RU,54.4958,79.6671,27.16,61,100,16.4,overcast clouds
136,Waddan,LY,29.1614,16.139,63.23,38,91,18.39,overcast clouds
137,Pokhara,NP,28.2333,83.9833,73.83,16,100,6.4,overcast clouds
138,Sai Buri,TH,6.7013,101.6168,77.63,84,92,4.12,overcast clouds
139,Kruisfontein,ZA,-34.0033,24.7314,61.0,91,20,3.83,few clouds
140,Xining,CN,36.6167,101.7667,45.45,54,94,1.59,overcast clouds
141,Tiksi,RU,71.6872,128.8694,11.95,94,100,11.18,light snow
142,Sitka,US,57.0531,-135.33,48.2,71,40,9.22,scattered clouds
143,Panzhihua,CN,26.5851,101.7128,59.38,44,0,2.84,clear sky
144,Najran,SA,17.4924,44.1277,71.6,21,0,3.04,clear sky
145,Bharatpur,IN,27.2167,77.4833,75.97,38,2,4.05,clear sky
146,Georgetown,MY,5.4112,100.3354,81.0,89,20,3.44,few clouds
147,Kahului,US,20.8947,-156.47,82.4,57,40,9.22,scattered clouds
148,Gat,IL,31.61,34.7642,64.99,100,1,4.54,clear sky
149,Khairpur,PK,27.5295,68.7617,73.4,60,40,4.61,haze
150,Hasaki,JP,35.7333,140.8333,62.01,67,20,13.8,few clouds
151,Esperance,AU,-33.8667,121.9,51.8,100,40,5.75,scattered clouds
152,Polyarnyy,RU,69.1989,33.4478,41.0,56,0,6.71,clear sky
153,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,75,10.36,broken clouds
154,Kloulklubed,PW,7.0419,134.2556,77.0,94,75,2.84,broken clouds
155,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.75,73,54,14.76,broken clouds
156,Puerto Colombia,CO,10.9878,-74.9547,86.0,70,20,12.66,few clouds
157,Torbay,CA,47.6666,-52.7314,37.99,100,90,20.71,overcast clouds
158,Ribeira Grande,PT,38.5167,-28.7,62.44,91,100,13.33,overcast clouds
159,La Ronge,CA,55.1001,-105.2842,46.4,25,75,6.91,broken clouds
160,Clyde River,CA,70.4692,-68.5914,5.0,85,20,4.61,few clouds
161,Jining,CN,35.405,116.5814,50.0,82,100,10.67,light rain
162,Shingu,JP,33.7333,135.9833,60.8,44,0,4.61,clear sky
163,Hovd,MN,48.0056,91.6419,37.33,65,31,4.34,scattered clouds
164,Makakilo City,US,21.3469,-158.0858,82.4,61,1,10.36,light rain
165,Wajima,JP,37.4,136.9,53.01,50,0,5.19,clear sky
166,Domanivka,UA,47.6319,30.9885,43.99,80,69,7.11,broken clouds
167,Chicama,PE,-7.8447,-79.1469,68.0,83,20,10.36,fog
168,Avarua,CK,-21.2078,-159.775,82.4,65,40,11.5,light rain
169,Saint-Philippe,RE,-21.3585,55.7679,75.2,94,75,10.36,moderate rain
170,Alpinopolis,BR,-20.8636,-46.3881,63.1,73,21,4.34,few clouds
171,Veseloyarsk,RU,51.2836,81.1056,23.45,51,0,7.31,clear sky
172,Chuy,UY,-33.6971,-53.4616,65.08,78,4,9.44,clear sky
173,Yaan,NG,7.3833,8.5667,82.27,66,95,11.5,overcast clouds
174,Aklavik,CA,68.2191,-135.0107,21.2,73,90,17.27,snow
175,Keta,GH,5.9179,0.9879,82.4,83,20,8.05,few clouds
176,Azare,NG,11.6765,10.1948,87.08,16,68,7.94,broken clouds
177,Cukai,MY,4.25,103.4167,77.0,94,94,2.3,overcast clouds
178,Barpali,IN,21.2,83.5833,83.01,46,2,4.63,clear sky
179,Horodnytsya,UA,50.807,27.3168,41.14,89,68,4.05,broken clouds
180,Munxar,MT,36.0307,14.2348,57.0,88,0,8.05,clear sky
181,Kongolo,CD,-5.3833,27.0,69.89,96,100,1.63,light rain
182,Boyuibe,BO,-20.4167,-63.2833,78.8,73,75,6.42,broken clouds
183,Reinosa,ES,42.9996,-4.138,55.4,94,75,1.14,broken clouds
184,Castro,BR,-24.7911,-50.0119,56.84,93,41,5.61,scattered clouds
185,Atasu,KZ,48.6814,71.6433,24.19,41,0,13.18,clear sky
186,Charsadda,PK,34.1435,71.7317,62.6,72,40,4.61,haze
187,Bumba,CD,2.1833,22.4667,69.55,94,89,2.82,overcast clouds
188,Lata,PT,40.1629,-8.3327,55.0,89,70,1.99,broken clouds
189,Zhigansk,RU,66.7697,123.3711,4.96,94,82,5.08,broken clouds
190,Tuatapere,NZ,-46.1333,167.6833,57.0,77,99,4.0,light rain
191,Fort Nelson,CA,58.8053,-122.7002,66.2,18,40,14.97,scattered clouds
192,Moose Factory,CA,51.2585,-80.6094,17.6,86,90,16.11,snow
193,Loralai,PK,30.3705,68.598,56.01,70,34,3.8,scattered clouds
194,Nhulunbuy,AU,-12.2333,136.7667,78.8,94,97,8.97,light rain
195,Samarai,PG,-10.6167,150.6667,83.82,74,56,10.51,broken clouds
196,Kapit,MY,2.0167,112.9333,71.55,98,96,0.98,overcast clouds
197,Kaeo,NZ,-35.1,173.7833,66.0,96,29,3.0,scattered clouds
198,Thayetmyo,MM,19.3167,95.1833,81.55,61,0,3.76,clear sky
199,Bayanday,RU,53.0661,105.5139,22.95,75,100,13.13,overcast clouds
200,Saquena,PE,-4.6667,-73.5167,73.67,98,78,3.2,broken clouds
201,Padang,ID,-0.9492,100.3543,75.2,100,40,2.3,scattered clouds
202,Jamestown,US,42.097,-79.2353,37.99,69,90,6.91,overcast clouds
